2020-06-29 09:52:48.0625|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 09:58:25.5871|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 10:03:39.4769|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 10:06:12.5737|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 10:11:08.4782|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 10:20:41.9472|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 10:23:15.4340|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 10:24:46.0097|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 10:29:55.3039|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 10:34:02.8846|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 10:35:43.5885|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 10:40:49.0673|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 10:50:09.8410|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 10:58:03.8965|0|OZO.Controllers.PosloviController|TRACE|  System.Text.Json.JsonSerializerOptions |url: http://localhost/Poslovi/Create?|action: Create
2020-06-29 10:58:05.4010|1000|OZO.Controllers.PosloviController|INFO|  Posao wwe dodana. |url: http://localhost/Poslovi/Create?|action: Create
2020-06-29 10:58:13.0349|0|OZO.Controllers.PosloviController|INFO|  Posao wwe uspješno obrisana |url: http://localhost/Poslovi/Delete?page=1,sort=1,ascending=True|action: Delete
2020-06-29 11:02:54.9701|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 11:07:15.6880|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 11:14:07.9269|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 11:19:24.7943|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 11:25:00.8453|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 11:28:39.9347|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 11:30:05.8808|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 11:42:16.3328|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 11:51:06.1883|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 11:52:50.0288|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 15:01:00.3927|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 15:03:00.2960|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 15:07:50.8355|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 15:13:46.5968|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 15:20:59.2136|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 15:26:14.0156|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 16:31:17.5821|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 22:25:49.4085|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 22:34:40.9905|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 22:40:54.8023|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 22:46:24.4843|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 22:50:43.6151|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 22:53:23.5955|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 22:54:43.4939|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 23:03:03.6051|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 23:05:43.3304|0|OZO.Program|DEBUG|  init main |url: ?|action: 
2020-06-29 23:17:04.8555|0|OZO.Program|DEBUG|  init main |url: ?|action: 
